name,mile,landmark,details,onTrail,suggested_landmark,suggested_details,suggested_subcategory,flags
WB230,343.0,gate/start x-country,Reliable: Augustine Gilbert Place (1.25 miles one way to homestead),True,,reliable: Augustine Gilbert Place (1.25 miles one way to homestead),,"capitalization: starts with ""Reliable:"" not ""reliable:"""
WB235,352.4,"trough to N, hikers have permission to access water at Miller Place. Please respect the private land. No camping.",reliable: Miller Place trough & electric pump (on private land) to the N,True,,,,
EB009,382.3,cross river,reliable: Donner & Blitzen River,True,,,,copy-paste cluster: 5 entries share identical details text
EB010,383.1,spring,reliable: Big Spring,True,,,,
EB014,389.8,reservoir to SW,reliable: Desert Meadow Reservoir,True,,,,
EB017,391.7,creek,reliable: Little Blitzen Creek,True,,,,
EB018,392.5,"0.1 before EB018 join maintained road/South Steens Campground -$6, water & pit toilets",reliable: South Steens Campground - spigot near pumphouse at entrance,True,,,,
EB020,394.7,creek,reliable: Little Indian Creek,True,,,,
EB020a,397.0,creek,reliable: Little Indian Creek,True,,,,
EB021,398.1,creek,reliable: Big Indian Creek,True,,,,
EB023,402.0,join Steens Mountain Loop Road,reliable: spring at marshy bench area at top of climb,True,,,,
EB025,406.3,lake/follow creek at outlet,reliable: Wildhorse Lake/creek until EB026,True,,,,
EB025a,407.2,creek,reliable: Wildhorse Creek until EB026,True,,,,
EB026,408.8,creek,reliable: Wildhorse Creek until EB026,True,,,,
EB051,446.8,spring,reliable: Roux Spring,True,,,,
EB091,461.4,,reliable: Denio Creek,True,,,,
EB125,489.2,junction,reliable: trough,True,,,,
EB128,491.1,spring,reliable: spring,True,,,,vague/missing details -- no water source name | copy-paste cluster: 3 entries share identical details text
EB130,491.8,creek,reliable: Trout Creek,True,,,,
EB163,518.0,creek/confluence Island Canyon,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
EB164,518.7,creek/confluence Fall Canyon,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
EB165,519.2,creek/confluence Buck Corral Canyon,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
EB166,519.8,creek/confluence west fork,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
ALTMC02,520.6,start x-country down cottonwood creek drainage,reliable: Cottonwood Creek,True,,,,
EB167,521.1,creek,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
EB168,522.0,creek/confluence east canyon,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
EB169,522.2,creek,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
EB170,522.5,creek,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
EB171,524.0,creek/climb up canyon,reliable: Oregon Canyon Creek,True,,,,copy-paste cluster: 9 entries share identical details text
ALTMC04,525.2,,reliable: water tank,True,,,,
EB177,528.0,trough,reliable: water trough,True,,,,
EB178,528.8,trough,reliable: water trough,True,,,,
OC030,563.2,creek/fence,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC031,564.3,creek,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC043,576.5,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC044,576.7,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC045,578.2,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC046,579.6,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC047,581.2,river/confluence with Dry Canyon,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC048,583.0,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC049,584.7,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC050,586.1,river/old water gauge,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC051,587.4,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC052,588.8,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC053,590.0,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC054,590.6,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC055,591.7,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC056,593.3,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC057,595.3,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC058,596.3,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC059,596.6,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC060,597.0,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC061,598.5,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC062,599.5,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC063,601.2,river,reliable: West Little Owyhee,True,,,,copy-paste cluster: 24 entries share identical details text
OC071,611.6,join Owyhee River,reliable: Owyhee River,True,,,,copy-paste cluster: 10 entries share identical details text
OC076e,620.4,join Owyhee River,reliable: Owyhee River,True,,,,copy-paste cluster: 10 entries share identical details text
OC077,621.0,pit toilet,reliable: Owyhee River,True,,,,copy-paste cluster: 10 entries share identical details text
OC109,660.2,campground/pit toilets,reliable: Rome Launch Campground spigot,True,,,,
OC114,665.3,,reliable: Jordan Creek,True,,,,
OC129,683.5,.5 W river/camping/jeep road to river OC130,reliable: Owyhee River .5 W,True,,,,
OC156,712.6,spring,reliable: developed spring,True,,,,
OC162,718.3,reservoir,reliable: Owyhee Reservoir (cloudy but filterable),True,,,,
OC163,719.6,creek,Reliable: Spring Creek,True,,reliable: Spring Creek,,"capitalization: starts with ""Reliable:"" not ""reliable:"""
OC172,721.2,reservoir/Slocum Creek campground/pit toilets,reliable: Owyhee Reservoir (cloudy but filterable),True,,,,
OC183,732.8,start x-country,reliable: Owyhee Reservoir 1 mile W,True,,,,
OC195,744.0,spring,reliable: Rookie Canyon Spring,True,,,,
OC201,749.9,creek,reliable: Birch Creek (watch for poison ivy),True,,,,copy-paste cluster: 3 entries share identical details text
OC202,750.4,creek,reliable: Birch Creek (watch for poison ivy),True,,,,copy-paste cluster: 3 entries share identical details text
OC203,750.6,creek/join 2-track road,reliable: Birch Creek (watch for poison ivy),True,,,,copy-paste cluster: 3 entries share identical details text
OC204,751.1,campground,reliable: Indian Creek Campground spigot,True,,,,
